Country,Year,Constituency,Candidate,Party,Votes,Elected
Vanuatu,2022,Port Vila,Alatoi Ishmael Kalsakau,Union of Moderate Parties,1380,Yes
Vanuatu,2022,Port Vila,Bob Loughman,Vanua'aku Pati,1250,Yes
Vanuatu,2022,Port Vila,Ralph Regenvanu,Graon mo Jastis Pati,1180,Yes
Vanuatu,2022,Port Vila,Charlot Salwai,Reunification of Movements for Change,1100,Yes
Vanuatu,2022,Port Vila,Bruno Leingkone,Graon mo Jastis Pati,980,No
Vanuatu,2022,Port Vila,Ham Lini,Vanua'aku Pati,850,No
Vanuatu,2022,Luganville,Sato Kilman,Union of Moderate Parties,1420,Yes
Vanuatu,2022,Luganville,Joe Natuman,Vanua'aku Pati,1350,Yes
Vanuatu,2022,Luganville,Charlot Salwai,Reunification of Movements for Change,1200,Yes
Vanuatu,2022,Luganville,Ham Lini,Vanua'aku Pati,1050,No
Vanuatu,2022,Luganville,Bruno Leingkone,Graon mo Jastis Pati,920,No
Vanuatu,2022,Tanna,Johnny Koanapo,Union of Moderate Parties,950,Yes
Vanuatu,2022,Tanna,Ralph Regenvanu,Graon mo Jastis Pati,880,Yes
Vanuatu,2022,Tanna,Joe Natuman,Vanua'aku Pati,750,No
Vanuatu,2022,Tanna,Bob Loughman,Vanua'aku Pati,680,No
Vanuatu,2022,Malekula,Alatoi Ishmael Kalsakau,Union of Moderate Parties,1100,Yes
Vanuatu,2022,Malekula,Bob Loughman,Vanua'aku Pati,980,Yes
Vanuatu,2022,Malekula,Charlot Salwai,Reunification of Movements for Change,850,No
Vanuatu,2022,Ambae,Ham Lini,Vanua'aku Pati,720,Yes
Vanuatu,2022,Ambae,Johnny Koanapo,Union of Moderate Parties,650,No
Vanuatu,2022,Ambae,Bruno Leingkone,Graon mo Jastis Pati,580,No
Vanuatu,2022,Ambrym,Ralph Regenvanu,Graon mo Jastis Pati,680,Yes
Vanuatu,2022,Ambrym,Joe Natuman,Vanua'aku Pati,620,No
Vanuatu,2022,Ambrym,Bob Loughman,Vanua'aku Pati,580,No
Vanuatu,2022,Efate,Sato Kilman,Union of Moderate Parties,850,Yes
Vanuatu,2022,Efate,Alatoi Ishmael Kalsakau,Union of Moderate Parties,780,Yes
Vanuatu,2022,Efate,Charlot Salwai,Reunification of Movements for Change,720,No
Vanuatu,2022,Efate,Ham Lini,Vanua'aku Pati,650,No
Vanuatu,2022,Malampa,Bruno Leingkone,Graon mo Jastis Pati,750,Yes
Vanuatu,2022,Malampa,Johnny Koanapo,Union of Moderate Parties,680,Yes
Vanuatu,2022,Malampa,Ralph Regenvanu,Graon mo Jastis Pati,620,No
Vanuatu,2022,Malampa,Joe Natuman,Vanua'aku Pati,580,No
Vanuatu,2022,Penama,Bob Loughman,Vanua'aku Pati,720,Yes
Vanuatu,2022,Penama,Ham Lini,Vanua'aku Pati,650,Yes
Vanuatu,2022,Penama,Alatoi Ishmael Kalsakau,Union of Moderate Parties,580,No
Vanuatu,2022,Penama,Charlot Salwai,Reunification of Movements for Change,520,No
Vanuatu,2022,Sanma,Sato Kilman,Union of Moderate Parties,950,Yes
Vanuatu,2022,Sanma,Bruno Leingkone,Graon mo Jastis Pati,880,Yes
Vanuatu,2022,Sanma,Johnny Koanapo,Union of Moderate Parties,780,Yes
Vanuatu,2022,Sanma,Ralph Regenvanu,Graon mo Jastis Pati,720,No
Vanuatu,2022,Shefa,Joe Natuman,Vanua'aku Pati,850,Yes
Vanuatu,2022,Shefa,Alatoi Ishmael Kalsakau,Union of Moderate Parties,780,Yes
Vanuatu,2022,Shefa,Ham Lini,Vanua'aku Pati,720,Yes
Vanuatu,2022,Shefa,Bob Loughman,Vanua'aku Pati,650,No
Vanuatu,2022,Tafea,Charlot Salwai,Reunification of Movements for Change,750,Yes
Vanuatu,2022,Tafea,Ralph Regenvanu,Graon mo Jastis Pati,680,Yes
Vanuatu,2022,Tafea,Johnny Koanapo,Union of Moderate Parties,620,No
Vanuatu,2022,Tafea,Bruno Leingkone,Graon mo Jastis Pati,580,No
Vanuatu,2022,Torba,Joe Natuman,Vanua'aku Pati,650,Yes
Vanuatu,2022,Torba,Sato Kilman,Union of Moderate Parties,580,Yes
Vanuatu,2022,Torba,Alatoi Ishmael Kalsakau,Union of Moderate Parties,520,No
Vanuatu,2022,Torba,Ham Lini,Vanua'aku Pati,480,No
