Country,Year,Constituency,Candidate,Party,Votes,Elected
Jordan,2020,Amman 1,Zaid Abu Hassan,Islamic Action Front,8500,Yes
Jordan,2020,Amman 1,Ahmad Al-Safadi,National Charter Party,7200,Yes
Jordan,2020,Amman 1,Khalil Atiyyeh,Erada Party,6800,Yes
Jordan,2020,Amman 1,Mohammad Al-Momani,National Islamic Party,6100,No
Jordan,2020,Amman 1,Ahmad Al-Zoubi,Independent,5500,No
Jordan,2020,Amman 2,Musa Hattar,Islamic Action Front,9200,Yes
Jordan,2020,Amman 2,Rima Khalaf,National Charter Party,7800,Yes
Jordan,2020,Amman 2,Ahmad Al-Zoubi,Erada Party,7100,Yes
Jordan,2020,Amman 2,Khalil Al-Salem,National Islamic Party,6500,No
Jordan,2020,Irbid,Abdul Karim Dughmi,Islamic Action Front,11500,Yes
Jordan,2020,Irbid,Khalil Al-Salem,National Charter Party,9800,Yes
Jordan,2020,Irbid,Ahmad Al-Khalayleh,Erada Party,8900,Yes
Jordan,2020,Irbid,Mohammad Al-Hajj,National Islamic Party,8200,Yes
Jordan,2020,Irbid,Ahmad Al-Sarhan,Independent,7500,No
Jordan,2020,Zarqa,Ahmad Al-Sarhan,Islamic Action Front,7500,Yes
Jordan,2020,Zarqa,Khalil Al-Majali,National Charter Party,6800,Yes
Jordan,2020,Zarqa,Ahmad Al-Zoubi,Erada Party,6200,Yes
Jordan,2020,Zarqa,Mohammad Al-Hajj,National Islamic Party,5800,No
Jordan,2020,National List,Musa Hattar,Islamic Action Front,45000,Yes
Jordan,2020,National List,Rima Khalaf,National Charter Party,38000,Yes
Jordan,2020,National List,Ahmad Al-Khalayleh,Erada Party,35000,Yes
Jordan,2020,National List,Mohammad Al-Hajj,National Islamic Party,32000,Yes
